county,lat,lng
Los Angeles,34.3209,-118.2247
Cook,41.8401,-87.8168
Harris,29.8578,-95.3936
Maricopa,33.3490,-112.4915
San Diego,33.0343,-116.7350
Orange,33.7031,-117.7609
Miami-Dade,25.6149,-80.5623
Dallas,32.7666,-96.7778
Kings,40.6395,-73.9385
Riverside,33.7437,-115.9938
Queens,40.7023,-73.8203
Clark,36.2152,-115.0135
King,47.4902,-121.8052
San Bernardino,34.8414,-116.1785
Tarrant,32.7719,-97.2911
Bexar,29.4489,-98.5200
Broward,26.1523,-80.4871
Santa Clara,37.2318,-121.6951
Wayne,42.2819,-83.2822
Alameda,37.6469,-121.8888
New York,40.7784,-73.9674
Middlesex,42.4856,-71.3918
Philadelphia,40.0077,-75.1339
Sacramento,38.4493,-121.3443
Palm Beach,26.6476,-80.4655
Suffolk,40.8686,-72.8448
Hillsborough,27.9292,-82.3092
Bronx,40.8500,-73.8661
Orange,28.5144,-81.3235
Nassau,40.7328,-73.5865
Franklin,39.9695,-83.0093
Oakland,42.6604,-83.3858
Hennepin,45.0045,-93.4770
Travis,30.3344,-97.7820
Cuyahoga,41.4243,-81.6586
Allegheny,40.4688,-79.9812
Fairfax,38.8368,-77.2770
Contra Costa,37.9191,-121.9277
Salt Lake,40.6673,-111.9236
Mecklenburg,35.2467,-80.8328
Wake,35.7903,-78.6503
Fulton,33.7903,-84.4670
Montgomery,39.1363,-77.2042
Pima,32.0974,-111.7899
Collin,33.1880,-96.5724
St. Louis,38.6407,-90.4434
Fresno,36.7582,-119.6493
Honolulu,21.5008,-158.1053
Pinellas,27.9199,-82.7256
Westchester,41.1624,-73.7561
Marion,39.7817,-86.1385
Milwaukee,43.0072,-87.9669
Duval,30.3316,-81.6708
Fairfield,41.2711,-73.3893
Shelby,35.1842,-89.8940
Bergen,40.9597,-74.0742
Gwinnett,33.9617,-84.0236
DuPage,41.8520,-88.0856
Erie,42.7639,-78.7323
Prince George's,38.8295,-76.8473
Kern,35.3426,-118.7301
Hartford,41.8064,-72.7329
Pierce,47.0241,-122.1046
San Francisco,37.7558,-122.4449
Macomb,42.6957,-82.9323
Denton,33.2055,-97.1168
Hidalgo,26.3967,-98.1811
New Haven,41.4106,-72.9321
Ventura,34.4561,-119.0836
El Paso,31.7686,-106.2348
Baltimore,39.4627,-76.6393
Montgomery,40.2108,-75.3673
Worcester,42.3514,-71.9077
Middlesex,40.4392,-74.4117
Hamilton,39.1955,-84.5428
Snohomish,48.0475,-121.6975
Multnomah,45.5468,-122.4148
Suffolk,42.3334,-71.0719
Essex,40.7872,-74.2471
Oklahoma,35.5515,-97.4072
Fort Bend,29.5275,-95.7709
Essex,42.6732,-70.9520
Jefferson,38.1872,-85.6591
San Mateo,37.4229,-122.3290
Cobb,33.9415,-84.5767
Lee,26.5779,-81.8337
DeKalb,33.7715,-84.2264
San Joaquin,37.9348,-121.2714
Monroe,43.1464,-77.6961
Denver,39.7620,-104.8758
El Paso,38.8321,-104.5255
Polk,27.9489,-81.6977
Norfolk,42.1605,-71.2114
District of Columbia,38.9047,-77.0163
Jackson,39.0085,-94.3461
Lake,42.3233,-88.0037
Davidson,36.1695,-86.7847
Will,41.4450,-87.9786
Bernalillo,35.0514,-106.6702
Hudson,40.7371,-74.0779
Jefferson,33.5543,-86.8964
Kent,43.0322,-85.5493
Tulsa,36.1211,-95.9415
Arapahoe,39.6498,-104.3392
Providence,41.8721,-71.5800
Bucks,40.3370,-75.1069
Utah,40.1199,-111.6703
Monmouth,40.2603,-74.2213
Baltimore,39.3051,-76.6144
Ocean,39.8855,-74.2813
Johnson,38.8838,-94.8223
Washington,45.5601,-123.0983
Brevard,28.2936,-80.7323
Montgomery,30.3002,-95.5030
Jefferson,39.5864,-105.2505
Anne Arundel,39.0065,-76.6051
Williamson,30.6475,-97.6004
Douglas,41.2954,-96.1543
Delaware,39.9167,-75.3991
Bristol,41.7972,-71.1144
New Castle,39.5768,-75.6527
Union,40.6601,-74.3087
Ramsey,45.0171,-93.0996
Stanislaus,37.5591,-120.9977
Volusia,29.0583,-81.1819
